player_id,player_name,short_name,player_birthdate,match_id,match_name,match_date,team_id,team_name,competition_id,competition_name,season_id,season_name,competition_edition_id,position,group,result,venue,third,channel,minutes_played_per_match,adjusted_min_tip_per_match,quality_check,count_pressures_received_in_sample,count_pressures_received_per_match,count_forced_losses_under_pressure_per_match,count_ball_retentions_under_pressure_per_match,ball_retention_ratio_under_pressure,pass_completion_ratio_under_pressure,count_pass_attempts_under_pressure_per_match,count_completed_passes_under_pressure_per_match,count_dangerous_pass_attempts_under_pressure_per_match,count_completed_dangerous_passes_under_pressure_per_match,dangerous_pass_completion_ratio_under_pressure,count_difficult_pass_attempts_under_pressure_per_match,count_completed_difficult_passes_under_pressure_per_match,difficult_pass_completion_ratio_under_pressure
2106,Daley Blind,D. Blind,1990-03-09,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LM,Midfield,lose,away,all,all,29.22,9.78,True,9,9,0,9,100.0,100.0,9,9,0,0,,1,1,100.0
2548,Davy Klaassen,D. Klaassen,1993-02-21,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,AM,Midfield,lose,away,all,all,29.22,9.78,True,4,4,2,2,50.0,66.67,3,2,0,0,,1,1,100.0
12654,Donyell Malen,D. Malen,1999-01-19,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RW,Winger,lose,away,all,all,29.22,9.78,True,9,9,2,7,77.78,75.0,4,3,1,0,0.0,1,0,0.0
3837,Georginio Wijnaldum,G. Wijnaldum,1990-11-11,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,AM,Midfield,lose,away,all,all,97.63,33.3,True,25,25,2,23,92.0,90.91,22,20,3,2,66.67,3,1,33.33
24466,Jurriën Timber Maduro,J. Timber,2001-06-17,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RWB,Full Back,lose,away,all,all,97.63,33.3,True,23,23,2,21,91.3,100.0,19,19,0,0,,3,3,100.0
33512,Kenneth Taylor,K. Taylor,2002-05-16,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LM,Midfield,lose,away,all,all,32.63,13.36,True,18,18,4,14,77.78,80.0,15,12,2,2,100.0,2,2,100.0
14407,Lutsharel Geertruida,L. Geertruida,2000-07-18,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RCB,Central Defender,lose,away,all,all,89.03,30.85,True,22,22,2,20,90.91,95.0,20,19,0,0,,2,1,50.0
7017,Marten de Roon,M. de Roon,1991-03-29,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RM,Midfield,lose,away,all,all,68.42,23.52,True,23,23,6,17,73.91,76.19,21,16,1,0,0.0,1,0,0.0
7387,Memphis Depay,M. Depay,1994-02-13,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,lose,away,all,all,97.63,33.3,True,40,40,13,27,67.5,72.0,25,18,3,3,100.0,4,3,75.0
7863,Nathan Aké,N. Aké,1995-02-18,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LWB,Full Back,lose,away,all,all,97.63,33.3,True,30,30,4,26,86.67,88.89,27,24,2,2,100.0,3,2,66.67
