frame,matchPeriod,team.name,player.id.wyscout,player.id.skillcorner,pass.recipient.id.wyscout,pass.recipient.id.skillcorner,location.x,location.y,pass.endLocation.x,pass.endLocation.y,play_direction,dxt,tracking.object_id,tracking.x,tracking.y,tracking.z,extrapolated,location.x_original,location.y_original,endLocation.x_original,endLocation.y_original,tracking.is_self,tracking.is_teammate,responsibility
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,-1,0.4,0.29,0.2,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,7604,-41.03,-0.05,0.0,True,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,16320,-15.86,-7.61,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,11516,-16.08,2.42,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,11630,-14.54,-18.87,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,11606,-14.08,17.56,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,12218,-9.69,0.05,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,277,-7.61,9.58,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,946,-6.2,-6.81,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,5922,-1.21,-19.48,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,6028,-0.19,22.92,0.0,False,51,50,42,83,False,False,0.2073929896738841
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,12190,0.12,-9.05,0.0,False,51,50,42,83,False,False,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,4777,40.57,0.23,0.0,True,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,14407,18.81,5.97,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,10738,18.44,-12.58,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,24466,11.61,21.55,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,7863,14.46,-22.88,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,33512,11.06,-4.01,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,7017,11.04,7.53,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,3837,2.86,-8.93,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,10082,0.45,21.52,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,31930,0.35,-18.34,0.0,False,51,50,42,83,False,True,0.0
39,1,Netherland,118,7387,625,7017,-1.058823529411768,0.0,8.470588235294116,21.616842105263157,TOP_TO_BOTTOM,-0.004161822420763401,7387,-0.7,0.9,0.0,False,51,50,42,83,True,True,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,-1,10.53,11.16,0.07,False,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,7604,-40.51,0.82,0.0,True,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,16320,-13.88,-5.16,0.0,True,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,11516,-14.65,7.24,0.0,True,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,11630,-12.74,-15.18,0.0,True,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,11606,-12.14,19.87,0.0,False,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,12218,-5.38,7.12,0.0,False,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,277,-0.17,14.67,0.0,False,42,83,29,60,False,False,0.0
77,1,Netherland,625,7017,476361,14407,8.470588235294116,21.616842105263157,22.235294117647058,7.046153846153846,TOP_TO_BOTTOM,-0.0022114107025256,946,-1.0,-3.11,0.0,False,42,83,29,60,False,False,0.0
